state,web_state,state_code
Alabama,al,1
Alaska,aj,2
Arizona,az,4
Arkansas,ar,5
California,ca,6
Colorado,co,8
Connecticut,ct,9
Delaware,de,10
Florida,fl,12
Georgia,ga,13
Hawaii,hi,15
Idaho,id,16
Illinois,il,17
Indiana,in,18
Iowa,ia,19
Kansas,ks,20
Kentucky,ky,21
Louisiana,la,22
Maine,me,23
Maryland,md,24
Massachusetts,ma,25
Michigan,mi,26
Minnesota,mn,27
Mississippi,ms,28
Missouri,mo,29
Montana,mt,30
Nebraska,ne,31
Nevada,nv,32
NewHampshire,nh,33
NewJersey,nj,34
NewMexico,nm,35
NewYork,ny,36
NorthCarolina,nc,38
NorthDakota,nd,38
Ohio,oh,39
Oklahoma,ok,40
Oregon,or,41
Pennsylvania,pa,42
RhodeIsland,ri,44
SouthCarolina,sc,45
SouthDakota,sd,46
Tennessee,tn,47
Texas,tx,48
Utah,ut,49
Vermont,vt,50
Virginia,va,51
Washington,wa,53
WestVirginia,wv,54
Wisconsin,wi,55
Wyoming,wy,56
DistrictOfColumbia,dc,11
